General : Start date,"11/4/2020 1:42 PM"
General : End date,"11/4/2020 1:49 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"72.30000","2.40937","78.97342"
"72.40000","2.41310","79.26483"
"72.50000","2.41673","79.37215"
"72.60000","2.41965","79.17004"
"72.70000","2.42358","78.81205"
"72.80000","2.42691","79.76304"
"72.90000","2.42983","79.52177"
"73.00000","2.43376","79.34786"
"73.10000","2.43689","79.93068"
"73.20000","2.43961","79.21078"
"73.30000","2.44364","79.53665"
"73.40000","2.44687","80.03878"
"73.50000","2.44969","79.86645"
"73.60000","2.45372","80.06306"
"73.70000","2.45685","79.98787"
"73.80000","2.45977","80.05758"
"73.90000","2.46360","80.27301"
"74.00000","2.46642","79.24760"
"74.10000","2.46965","79.41367"
"74.20000","2.47348","79.56250"
"74.30000","2.47650","79.23663"
"74.40000","2.47983","79.32358"
"74.50000","2.48376","79.38547"
"74.60000","2.48678","80.93494"
"74.70000","2.49001","80.13514"
"74.80000","2.49394","80.35683"
"74.90000","2.49686","80.17744"
"75.00000","2.49998","80.69524"
"75.10000","2.50371","80.50802"
"75.20000","2.50654","80.57616"
"75.30000","2.50996","81.37754"
"75.40000","2.51369","80.41166"
"75.50000","2.51662","79.95340"
"75.60000","2.51984","80.32863"
"75.70000","2.52357","81.51933"
"75.80000","2.52639","80.93494"
"75.90000","2.52962","80.71012"
"76.00000","2.53365","81.27962"
"76.10000","2.53677","81.95096"
"76.20000","2.53980","81.00780"
"76.30000","2.54353","81.20677"
"76.40000","2.54675","81.32349"
"76.50000","2.54998","80.69211"
"76.60000","2.55381","81.78019"
"76.70000","2.55683","81.62195"
"76.80000","2.56016","80.80177"
"76.90000","2.56399","82.10684"
"77.00000","2.56681","81.51619"
"77.10000","2.57004","81.83894"
"77.20000","2.57367","82.37553"
"77.30000","2.57649","82.31835"
"77.40000","2.57991","81.74337"
"77.50000","2.58354","82.67165"
"77.60000","2.58616","81.88907"
"77.70000","2.58949","82.48286"
"77.80000","2.59342","82.85651"
"77.90000","2.59655","81.97367"
"78.00000","2.60027","81.39399"
"78.10000","2.60370","82.21416"
"78.20000","2.60673","81.54282"
"78.30000","2.61056","81.66346"
"78.40000","2.61378","82.11781"
"78.50000","2.61640","81.59766"
"78.60000","2.62043","80.34743"
